sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
SNOW,294,2024-11-21,A,10.15,0.76,171.35,161.16000366210938,4.27,False,43.99,True,2024,175.0,2.13,7.0,target,5.0,7,stop,-7.0,17,stop,-7.0,17,-1.47,3.29,-7.75,6.8,-8.2
AAPL,296,2024-11-25,B,2.06,0.89,232.87,229.74000549316406,1.67,True,2.11,False,2024,233.33,0.2,1.54,target,5.0,8,target,8.0,14,target,10.0,19,4.15,5.64,11.01,11.47,0.0
AZO,297,2024-11-26,B,1.83,0.84,3144.21,3076.43994140625,1.99,True,1.04,False,2024,3124.74,-0.62,1.55,target,5.0,6,target,8.0,8,time,3.74,20,2.09,6.9,3.74,9.34,0.0
WDAY,298,2024-11-27,B,7.21,0.71,253.4,237.17999267578125,3.54,True,1.92,True,2024,254.06,0.26,6.64,target,5.0,3,target,14.78,6,target,14.78,6,4.86,7.72,3.13,15.72,-3.07
CRM,302,2024-12-04,A,3.62,0.91,367.87,356.6499938964844,2.96,True,20.45,True,2024,360.78,-1.93,1.14,stop,-1.14,2,stop,-1.14,2,stop,-1.14,2,-0.76,-6.8,-8.38,1.77,-9.29
MRVL,302,2024-12-04,A,5.84,0.83,118.15,109.56999969482422,4.03,True,40.55,True,2024,116.6,-1.31,6.03,stop,-6.03,2,stop,-6.03,2,stop,-6.03,2,-6.51,-6.42,2.07,8.19,-10.48
GOOGL,306,2024-12-10,A,2.1,0.78,185.17,181.0500030517578,2.31,True,8.91,False,2024,185.31,0.08,2.3,target,5.0,0,target,8.0,4,time,3.08,20,1.67,5.55,3.08,8.69,-0.25
AVGO,307,2024-12-11,A,2.01,0.8,183.2,176.42999267578125,3.37,True,5.47,True,2024,180.93,-1.24,2.49,stop,-2.49,0,stop,-2.49,0,stop,-2.49,0,20.67,33.62,24.19,39.21,-2.73
GOOGL,307,2024-12-11,A,2.42,0.98,195.4,184.85000610351562,2.43,True,14.55,False,2024,195.0,-0.2,5.21,time,-2.74,20,time,-2.74,20,time,-2.74,20,-3.33,-1.15,-2.74,3.29,-5.02
ARM,308,2024-12-12,B,1.71,0.78,148.0,140.6999969482422,3.91,True,3.6,False,2024,151.51,2.37,7.0,stop,-7.0,2,stop,-7.0,2,stop,-7.0,2,-12.78,-16.9,-2.71,3.23,-18.74
AVGO,309,2024-12-13,A,5.22,0.78,224.8,211.11000061035156,4.24,True,28.49,True,2024,231.79,3.11,7.0,target,5.0,0,target,8.0,0,time,-1.03,20,0.24,0.02,-1.03,8.67,-6.13
MRVL,309,2024-12-13,A,2.56,0.84,120.77,115.0999984741211,5.3,True,34.71,False,2024,122.5,1.43,6.04,stop,-6.04,1,stop,-6.04,1,stop,-6.04,1,-7.13,-9.84,-4.02,2.98,-14.79
